Date,League,Home,Away,Odds_H,Odds_A,Odds_H_X,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order,date,team,opponent,result,Winning_team_actual,bet_right,bet_right_win_draw
2023-09-17,PREMIER LEAGUE ,Everton,Arsenal,6.3,1.52,1.17,1.17,0.29,0.71,Arsenal,0.71,1.52,1.52,safest_bet,3,2023-09-17,Everton,Arsenal,L,Arsenal,1,1
2023-09-24,EREDIVISIE ,RKC Waalwijk,Twente,5.4,1.52,1.17,1.17,0.2,0.8,Twente,0.8,1.52,1.52,safest_bet,3,2023-09-24,RKC Waalwijk,Twente,W,RKC Waalwijk,0,0
2023-09-26,SERIE A ,Juventus,Lecce,1.52,6.3,1.17,1.17,0.82,0.18,Juventus,0.82,1.52,1.52,safest_bet,3,2023-09-26,Juventus,Lecce,W,Juventus,1,1
2023-10-01,LIGUE 1 ,Rennes,Nantes,1.52,5.9,1.17,1.17,0.89,0.11,Rennes,0.89,1.52,1.52,safest_bet,3,2023-10-01,Rennes,Nantes,W,Rennes,1,1
2023-09-30,PREMIER LEAGUE ,Bournemouth,Arsenal,6.1,1.52,1.17,1.17,0.24,0.76,Arsenal,0.76,1.52,1.52,safest_bet,3,2023-09-30,Bournemouth,Arsenal,L,Arsenal,1,1
2023-09-17,LIGA PORTUGAL ,Vitoria Guimaraes,Portimonense,1.53,6.0,1.17,1.17,0.85,0.15,Vitoria Guimaraes,0.85,1.53,1.53,safest_bet,3,2023-09-17,Vitoria Guimaraes,Portimonense,L,Portimonense,0,0
2023-09-30,SERIE A ,Flamengo,Bahia,1.55,5.5,1.17,1.17,0.83,0.17,Flamengo,0.83,1.55,1.55,safest_bet,3,2023-09-30,Flamengo,Bahia,W,Flamengo,1,1
2023-10-28,LIGUE 1 ,Lens,Nantes,1.55,5.4,1.17,1.17,0.92,0.08,Lens,0.92,1.55,1.55,safest_bet,3,2023-10-28,Lens,Nantes,W,Lens,1,1
2023-10-29,LIGUE 1 ,Brest,Paris Saint Germain,5.4,1.55,1.17,1.17,0.34,0.66,Paris Saint Germain,0.66,1.55,1.55,safest_bet,3,2023-10-29,Brest,Paris Saint Germain,L,Paris Saint Germain,1,1
2023-09-23,SERIE A ,Atletico Mineiro,Cuiaba,1.57,6.5,1.17,1.17,0.83,0.17,Atletico Mineiro,0.83,1.57,1.57,safest_bet,3,2023-09-23,Atletico Mineiro,Cuiaba,W,Atletico Mineiro,1,1
2023-09-24,LALIGA ,Real Sociedad,Getafe,1.58,7.0,1.17,1.17,0.88,0.12,Real Sociedad,0.88,1.58,1.58,safest_bet,3,2023-09-24,Real Sociedad,Getafe,W,Real Sociedad,1,1
2023-09-30,PREMIER LEAGUE ,Manchester United,Crystal Palace,1.58,5.9,1.17,1.17,0.8,0.2,Manchester United,0.8,1.58,1.58,safest_bet,3,2023-09-30,Manchester United,Crystal Palace,L,Crystal Palace,0,0
2023-11-05,SERIE A ,Roma,Lecce,1.58,5.9,1.17,1.17,0.88,0.12,Roma,0.88,1.58,1.58,safest_bet,3,2023-11-05,Roma,Lecce,W,Roma,1,1
2023-11-25,JUPILER PRO LEAGUE ,Cercle Brugge,Eupen,1.4,7.0,1.08,3.0,0.84,0.16,Cercle Brugge,0.84,1.4,1.4,safest_bet,3,2023-11-25,Cercle Brugge,Eupen,W,Cercle Brugge,1,1
2023-11-25,EREDIVISIE ,Ajax,Vitesse,1.32,8.9,1.05,3.4,0.82,0.18,Ajax,0.82,1.32,1.32,safest_bet,3,2023-11-25,Ajax,Vitesse,W,Ajax,1,1
2023-11-25,LALIGA ,Atletico Madrid,Mallorca,1.38,9.0,1.05,3.0,0.83,0.17,Atletico Madrid,0.83,1.38,1.38,safest_bet,3,2023-11-25,Atletico Madrid,Mallorca,W,Atletico Madrid,1,1
2023-11-26,LALIGA ,Cadiz,Real Madrid,6.5,1.5,2.7,1.11,0.33,0.67,Real Madrid,0.67,1.5,1.5,safest_bet,3,2023-11-26,Cadiz,Real Madrid,L,Real Madrid,1,1
2023-11-26,LALIGA ,Real Betis,Las Palmas,1.72,5.0,1.17,2.2,0.82,0.18,Real Betis,0.82,1.72,1.17,safest_bet,3,2023-11-26,Real Betis,Las Palmas,W,Real Betis,1,1
2023-12-02,JUPILER PRO LEAGUE ,Antwerp,OH Leuven,1.36,8.0,1.08,3.1,0.82,0.18,Antwerp,0.82,1.36,1.36,safest_bet,3,2023-12-02,Antwerp,OH Leuven,W,Antwerp,1,1
2023-12-02,PREMIER LEAGUE ,Arsenal,Wolverhampton Wanderers,1.29,11.5,1.04,3.8,0.89,0.11,Arsenal,0.89,1.29,1.29,safest_bet,3,2023-12-02,Arsenal,Wolverhampton Wanderers,W,Arsenal,1,1
2023-12-02,BUNDESLIGA ,RB Leipzig,Heidenheim,1.25,12.0,1.01,4.2,0.89,0.11,RB Leipzig,0.89,1.25,1.25,safest_bet,3,2023-12-02,RB Leipzig,Heidenheim,W,RB Leipzig,1,1
2023-12-02,SERIE A ,Lazio,Cagliari,1.58,5.9,1.14,2.4,0.9,0.1,Lazio,0.9,1.58,1.58,safest_bet,3,2023-12-02,Lazio,Cagliari,W,Lazio,1,1
2023-12-02,SERIE A ,Milan,Frosinone,1.36,8.7,1.07,3.1,0.86,0.14,Milan,0.86,1.36,1.36,safest_bet,3,2023-12-02,Milan,Frosinone,W,Milan,1,1
2023-12-02,LIGA PORTUGAL ,Famalicao,Porto,5.5,1.6,2.4,1.14,0.33,0.67,Porto,0.67,1.6,1.14,safest_bet,3,2023-12-02,Famalicao,Porto,L,Porto,1,1
2023-12-03,LIGUE 1 ,Lille,Metz,1.37,8.3,1.07,3.1,0.85,0.15,Lille,0.85,1.37,1.37,safest_bet,3,2023-12-03,Lille,Metz,W,Lille,1,1
